# Page 1
----------------------------------------------------------------------------------------------------------------------------------
| Co-operative Irrigation in the State                                                                                           |
| 25% for the year 2020-21                                                                                                       |
| regarding the grant.                                                                                                           |
|                                                                                                                                |
| The Government of Maharashtra                                                                                                  |
| Department of Co-operation, Marketing and Textiles                                                                             |
| GOVERNMENT DECISION NO.: CSL-1520/ PR.Q.dntr. 127/7-S,                                                                         |
| Mantralaya, Mumbai- 400 032                                                                                                    |
| The date: March 31, 2021.                                                                                                      |
|                                                                                                                                |
| GOVERNMENT DECISION NO.: CSL- 1494/2822/ PR.Q.dntr. 133/7-S, dated 19.11.1994.                                                 |
| Government Decision No. CSL-1513/ PR.Q.dntr. 923/7-S dated 24.12.2013 and                                                      |
| Corrigendum dated 28.02.2014.                                                                                                  |
| Government Resolution No: CSL-1520/ PR.Khdntr. 127/7-S, dated 04.01.2021.                                                      |
|                                                                                                                                |
| The Proposal:                                                                                                                  |
| The project cost of cooperative lift irrigation schemes in the state has been continuously increasing in the last few years    |
| This is not only for small and marginal farmers but also for medium and large farmers.                                         |
| Increasing project costs have made it financially difficult.                                                                   |
| Free water supply to farmers under the scheme                                                                                  |
| On the contrary, farmers in other areas should arrange for their own irrigation.                                               |
| If decided, they have to bear the entire cost of their schemes themselves.                                                     |
| The burden of expenditure on the beneficiary members of the schemes was reduced and lifted by the government to some extent    |
| Java, in view of the aforesaid Government Decision dated 19.11.1994 along with the said Government Decision.                   |
| Subject to the conditions in Annexure A annexed, the Finance Department may provide in the revised estimates                   |
| Financial assistance for Cooperative lift irrigation schemes during 2020-21                                                    |
| The matter was under consideration of the government.                                                                          |
| Government's decision                                                                                                          |
| Commissioner and Registrar of Cooperative Societies, Maharashtra State, Pune                                                   |
| As per the decision, the remaining of the proposals received for grant approval will be for the Maharashtra circle.            |
| An amount of Rs. 54,72,680/- (Rupees Fifty Four Lakh Seventy Two Thousand Six Hundred Eighty Only) dated 04.01.2021            |
| Disbursed as per Government of India decision of Rozi. Amendments made available by Finance Department                         |
| As per the estimates, a sum of Rs. 1,36,81, 700/-is required to be spent for the remaining institutions in Maharashtra Circle. |
| Funds released for the year 2020-21                                                                                            |
| Rs. 54,72,680/- (Rupees Fifty Four Lakh Seventy Two Thousand Six Hundred Eighty Only) minus the remaining amount               |
| A sum of Rs. 82,09,020/-is being provided for expenditure during 2020-21.                                                      |
| Rs. 82,09,020/- (Rupees Eighty Two Lakhs Nine Thousand Twenty) to 05 Cooperative Irrigation Societies for the year             |
| The government is only approving the disbursement of such grants.                                                              |
----------------------------------------------------------------------------------------------------------------------------------
# Page 2
GOVERNMENT DECISION NO.: CSL-1520/ PR.Q.dntr. 127/7-S,
-----------------------------------------------------------------------------------------------------------------------------------------
| Approval granted to 05 Cooperative Irrigation Societies in Annexure' A'.                                                              |
| Based on the information submitted by the Cooperation Commissioner, Pune along with the proposal                                      |
| If there are any discrepancies in the documents and information submitted                                                             |
| The amount will be recovered in lump sum along with interest from the institutions concerned subject to these conditions.             |
| 3.Check of the amount of financial assistance sanctioned as above, from the banks/ financial institutions                             |
| The Co-operative Irrigation Corporation has taken loan for the project cost from the bank/ financial institution.                     |
| The names of the manager/ manager should be removed.                                                                                  |
| The amount of financial assistance received by them through cheque from the concerned Cooperative Irrigation Society.                 |
| They should be adjusted against the loan amount coming in.                                                                            |
| During the financial year 2020-21, out of the total outlay of Rs. 82,09,020/-                                                         |
| (Rupees Eighty Two Lakhs Nine Thousand Twenty only) to the Commissioner and Registrar of Cooperatives as per Annexure' A'.            |
| Co-operative Societies, Maharashtra State, Pune at office level provided on BDS                                                       |
| Commissioner and Registrar of Cooperative Societies, Maharashtra                                                                      |
| State, Pune is being authorized as Controlling Authority.                                                                             |
| 5. Proper utilization of funds by monitoring the actual utilization plan before or after disbursement.                                |
